PM,PM10,SO2,NO2,CO,O3,AQI
68,100,7,47,0.77,32,93
73,107,6,53,0.94,27,98
96,140,8,53,1.08,32,127
67,99,5,42,0.83,29,91
59,101,6,45,0.96,31,84
57,106,5,44,0.87,25,80
74,132,6,47,0.97,20,100
90,146,7,57,1.13,20,120
58,96,6,47,1.02,24,81
47,70,5,38,0.89,16,68
42,106,5,40,0.84,30,80
68,220,7,48,0.76,23,136
52,151,7,42,0.74,20,101
40,105,6,40,0.67,24,78
28,71,4,24,0.57,40,61
23,35,4,27,0.63,25,36
17,27,4,26,0.75,16,28
30,45,4,32,0.79,15,44
42,66,5,40,0.93,19,61
54,95,7,55,1.16,22,76
79,125,7,60,1.02,18,106
80,116,8,53,0.89,16,108
70,104,8,49,0.86,25,95
58,91,9,46,0.95,34,81
93,139,9,65,1.21,43,123
111,157,8,70,1.1,29,146
126,173,7,61,1.09,24,167
128,180,8,52,1.12,24,170
99,140,6,54,1.1,20,131
32,51,4,24,0.93,37,50
46,65,5,30,0.9,36,65
54,74,5,40,0.99,23,75
49,69,5,40,1.02,21,69
